llave_persona,P203,P207,Edad,Ocupado,Informal,Billetera,CreditoFormal_2024,FACTOR07,P301A,CreditoFormal_2025
15746-182-11-4,3,1,12.0,0,,0,0,76.5594711303711,3.0,0
15746-182-11-5,3,1,10.0,0,,0,0,76.5594711303711,3.0,0
15746-183-11-1,1,2,72.0,1,0.0,0,0,76.5594711303711,5.0,1
15746-183-11-2,3,2,43.0,1,1.0,1,0,76.5594711303711,10.0,1
15746-183-11-3,5,2,5.0,0,,0,0,76.5594711303711,2.0,0
15746-381-11-1,1,1,56.0,1,1.0,0,0,76.5594711303711,6.0,0
15746-381-11-2,2,2,45.0,1,1.0,0,0,76.5594711303711,4.0,0
15746-381-11-3,3,1,13.0,0,,0,0,76.5594711303711,4.0,0
15750-134-11-1,1,1,83.0,1,0.0,0,0,66.6390228271484,4.0,0
15750-135-11-1,1,1,43.0,1,1.0,0,0,66.6390228271484,6.0,0
15750-270-11-1,1,1,67.0,1,1.0,0,0,66.6390228271484,7.0,0
15750-272-11-1,1,1,66.0,1,1.0,0,0,66.6390228271484,6.0,0
15750-273-11-1,1,1,78.0,1,1.0,0,0,66.6390228271484,3.0,0
15750-275-11-1,1,1,71.0,1,1.0,0,1,66.6390228271484,8.0,1
15750-275-11-2,2,2,69.0,1,0.0,0,0,66.6390228271484,5.0,0
15752-21-11-1,1,1,60.0,1,1.0,0,0,68.3042068481445,5.0,0
15752-21-11-2,0, ,,0,,0,0,68.3042068481445,,0
15752-23-11-1,1,2,32.0,1,1.0,0,0,68.3042068481445,5.0,0
15752-23-11-2,2,1,32.0,1,1.0,0,0,68.3042068481445,5.0,0
15752-23-11-3,3,1,9.0,0,,0,0,68.3042068481445,3.0,0
15752-24-11-1,1,1,71.0,1,1.0,0,0,68.3042068481445,10.0,0
15752-24-11-2,11,1,71.0,1,1.0,0,1,68.3042068481445,7.0,0
15752-24-11-3,11,2,74.0,1,1.0,0,0,68.3042068481445,6.0,0
15752-76-11-1,1,1,61.0,1,0.0,0,0,68.3042068481445,4.0,0
15752-76-11-2,2,2,55.0,1,1.0,0,0,68.3042068481445,5.0,0
15752-76-11-3,3,2,12.0,0,,0,0,68.3042068481445,4.0,0
15752-77-11-1,1,1,57.0,1,1.0,0,0,68.3042068481445,6.0,0
15752-78-11-1,1,1,57.0,1,1.0,0,0,68.3042068481445,3.0,0
15752-79-11-1,1,1,55.0,1,1.0,0,0,68.3042068481445,5.0,0
15752-79-11-2,2,2,48.0,1,1.0,0,0,68.3042068481445,4.0,0
15752-80-11-1,1,1,60.0,1,1.0,0,0,68.3042068481445,4.0,1
15752-80-11-2,2,2,47.0,1,1.0,0,0,68.3042068481445,4.0,0
15755-29-11-1,1,1,75.0,1,1.0,0,0,76.5594711303711,6.0,0
15755-29-11-2,2,2,60.0,1,1.0,0,0,76.5594711303711,4.0,0
15755-29-11-3,3,1,39.0,1,0.0,1,1,76.5594711303711,7.0,0
15755-30-11-1,1,2,52.0,1,0.0,1,1,76.5594711303711,6.0,0
15755-30-11-2,3,2,22.0,1,0.0,0,1,76.5594711303711,7.0,0
15755-31-11-1,1,1,68.0,1,1.0,0,0,76.5594711303711,4.0,0
15755-32-11-1,1,1,57.0,1,1.0,0,1,76.5594711303711,3.0,1
15755-32-11-2,2,2,50.0,1,1.0,0,0,76.5594711303711,4.0,0
15755-32-11-3,3,2,30.0,1,1.0,1,0,76.5594711303711,6.0,0
15755-32-11-4,5,2,16.0,1,0.0,0,0,76.5594711303711,5.0,0
15755-32-11-5,3,1,32.0,0,,0,0,76.5594711303711,,0
15755-115-11-1,1,2,55.0,1,1.0,0,1,76.5594711303711,4.0,0
15755-115-11-2,2,1,62.0,1,1.0,0,0,76.5594711303711,6.0,0
15755-115-11-3,3,1,32.0,1,0.0,0,0,76.5594711303711,10.0,0
15755-116-11-1,1,1,60.0,1,1.0,0,0,76.5594711303711,4.0,0
15755-116-11-2,2,2,65.0,1,1.0,0,0,76.5594711303711,6.0,0
15755-117-11-1,1,1,56.0,1,1.0,1,0,76.5594711303711,5.0,0
15755-117-11-2,3,1,17.0,1,1.0,0,0,76.5594711303711,5.0,0
15755-118-11-1,1,1,40.0,1,1.0,0,0,76.5594711303711,5.0,0
15755-118-11-2,2,2,43.0,1,1.0,1,1,76.5594711303711,5.0,1
15766-16-11-1,1,1,77.0,1,1.0,0,0,163.327453613281,4.0,0
15766-16-11-2,2,2,83.0,1,0.0,0,0,163.327453613281,1.0,0
15766-16-11-3,3,1,52.0,1,1.0,0,0,163.327453613281,6.0,0
15766-48-11-1,1,1,69.0,1,1.0,0,0,163.327453613281,5.0,0
15766-48-11-2,2,2,69.0,1,1.0,0,0,163.327453613281,3.0,0
15766-49-11-1,1,1,28.0,1,1.0,0,0,163.327453613281,7.0,1
15766-49-11-2,2,2,21.0,1,1.0,0,0,163.327453613281,6.0,0
15766-49-11-3,3,2,4.0,0,,0,0,163.327453613281,1.0,0
15766-49-11-4,3,2,2.0,0,,0,0,163.327453613281,,0
15771-28-11-1,1,1,71.0,1,0.0,0,1,154.288711547852,4.0,0
15771-28-11-2,2,2,67.0,1,1.0,0,0,154.288711547852,4.0,0
15771-49-11-1,1,2,67.0,1,1.0,0,0,154.288711547852,1.0,0
15771-78-11-1,1,2,70.0,1,1.0,0,0,154.288711547852,3.0,0
15771-78-11-2,2,1,75.0,1,1.0,0,0,154.288711547852,5.0,0
15772-13-11-1,1,2,74.0,1,1.0,0,0,158.062057495117,3.0,0
15772-13-11-2,2,1,76.0,1,0.0,0,0,158.062057495117,3.0,0
15772-14-11-1,1,2,53.0,1,1.0,0,0,158.062057495117,4.0,0
15772-14-11-2,3,2,8.0,0,,0,0,158.062057495117,3.0,0
15772-14-11-3,6,2,83.0,1,1.0,0,0,158.062057495117,3.0,0
15772-34-11-1,1,1,50.0,1,1.0,0,0,158.062057495117,4.0,0
15772-34-11-2,2,2,50.0,1,1.0,0,0,158.062057495117,4.0,0
15772-34-11-3,3,1,15.0,1,1.0,0,0,158.062057495117,5.0,0
15772-34-11-4,3,2,13.0,0,,0,0,158.062057495117,5.0,0
15772-34-11-5,3,1,10.0,0,,0,0,158.062057495117,3.0,0
15773-7-11-1,1,2,56.0,1,1.0,0,0,158.062057495117,6.0,0
15773-7-11-2,2,1,59.0,1,1.0,0,0,158.062057495117,6.0,0
15773-7-11-3,3,2,25.0,1,1.0,0,0,158.062057495117,10.0,0
15773-17-11-1,1,1,59.0,1,1.0,0,0,158.062057495117,4.0,0
15773-27-11-1,1,2,55.0,1,1.0,0,0,158.062057495117,3.0,0
15773-37-11-1,1,2,33.0,1,0.0,1,0,158.062057495117,6.0,0
15773-37-11-2,2,1,32.0,1,0.0,0,0,158.062057495117,6.0,0
15773-37-11-3,3,2,12.0,0,,0,0,158.062057495117,4.0,0
15773-37-11-4,3,1,6.0,0,,0,0,158.062057495117,3.0,0
15773-47-11-1,1,2,59.0,1,1.0,1,1,158.062057495117,5.0,1
15773-47-11-2,2,1,67.0,1,1.0,0,0,158.062057495117,6.0,1
15773-57-11-1,1,1,60.0,1,1.0,0,0,158.062057495117,6.0,0
15773-57-11-2,2,2,57.0,1,0.0,0,0,158.062057495117,5.0,0
15773-57-11-3,3,1,21.0,1,0.0,1,0,158.062057495117,7.0,0
