llave_persona,P203,P207,Edad,Ocupado,Informal,Billetera,CreditoFormal_2024,FACTOR07,P301A,CreditoFormal_2025
15773-57-11-4,0, ,,0,,0,0,158.062057495117,,0
15773-67-11-1,1,1,41.0,1,1.0,0,0,158.062057495117,6.0,0
15773-67-11-2,2,2,35.0,1,0.0,1,0,158.062057495117,8.0,0
15773-67-11-3,3,2,11.0,0,,0,0,158.062057495117,3.0,0
15773-67-11-4,3,1,4.0,0,,0,0,158.062057495117,2.0,0
15773-67-11-5,3,2,2.0,0,,0,0,158.062057495117,,0
15773-97-11-1,1,2,46.0,1,1.0,0,0,158.062057495117,6.0,0
15773-97-11-2,3,1,22.0,1,0.0,1,0,158.062057495117,7.0,0
15773-97-11-3,0, ,,0,,0,0,158.062057495117,,0
15774-5-11-1,1,2,59.0,1,1.0,0,0,158.062057495117,4.0,0
15774-5-11-2,3,1,19.0,1,0.0,0,0,158.062057495117,7.0,0
15774-5-11-3,10,1,58.0,0,,0,0,158.062057495117,,0
15774-6-11-1,1,1,51.0,1,1.0,0,1,158.062057495117,5.0,1
15774-6-11-2,2,2,41.0,1,1.0,0,0,158.062057495117,3.0,1
15774-6-11-3,3,2,19.0,1,0.0,0,0,158.062057495117,7.0,0
15774-6-11-4,3,1,12.0,0,,0,0,158.062057495117,4.0,0
15774-7-11-1,1,2,53.0,1,1.0,0,0,158.062057495117,5.0,0
15774-7-11-2,2,1,48.0,1,1.0,0,0,158.062057495117,3.0,0
15774-7-11-3,3,1,20.0,1,1.0,1,0,158.062057495117,6.0,0
15774-8-11-1,1,1,69.0,1,1.0,0,0,158.062057495117,6.0,0
15774-8-11-2,2,2,67.0,1,1.0,0,0,158.062057495117,4.0,0
15774-8-11-3,3,2,41.0,1,1.0,0,0,158.062057495117,1.0,0
15774-8-11-4,3,2,29.0,1,1.0,0,0,158.062057495117,6.0,0
15774-37-11-1,1,2,57.0,1,1.0,0,0,158.062057495117,3.0,0
15774-37-11-2,2,1,59.0,1,1.0,0,0,158.062057495117,3.0,0
15774-37-11-3,3,2,20.0,1,1.0,0,0,158.062057495117,7.0,0
15774-37-11-4,5,2,13.0,0,,0,0,158.062057495117,5.0,0
15774-38-11-1,1,1,32.0,1,1.0,0,0,158.062057495117,5.0,0
15774-38-11-2,2,2,29.0,1,1.0,0,0,158.062057495117,6.0,0
15774-38-11-3,3,2,8.0,0,,0,0,158.062057495117,3.0,0
15774-38-11-4,3,1,7.0,0,,0,0,158.062057495117,3.0,0
