CONGLOME,VIVIENDA,HOGAR,CODPERSO,P203,P207,P208A,P301A,P301B,P507,P510A1,P511A,P512A,P558E1_4,P558E1_8,P558E1_9,DOMINIO,ESTRATO,PANEL,FACTOR07,MIEPERHO,llave_persona,Edad,Ocupado,P510A1_num,P511A_num,P507_num,Informal,CreditoFormal_2024,Billetera,CreditoFormal_2025,P203_num,Ocupado_num,CreditoFormal_2024_num,CreditoFormal_2025_num,Informal_num,NuevoCredito
15065,25,11,1,1,2,44,8.0,3,3, ,6,5,0.0,0.0,0.0,7,4,1,125.811553955078,1,15065-25-11-1,44.0,1,,6.0,3.0,0.0,0,0,0,1,1,0,0,0.0,0
15065,59,11,1,1,1,40,6.0,5,3,2,7,1,0.0,0.0,0.0,7,4,1,125.811553955078,4,15065-59-11-1,40.0,1,2.0,7.0,3.0,1.0,0,0,0,1,1,0,0,1.0,0
15065,111,11,1,1,2,62,5.0,3, , , , ,0.0,0.0,0.0,7,4,1,125.811553955078,1,15065-111-11-1,62.0,1,,,,0.0,0,0,0,1,1,0,0,0.0,0
15066,14,11,1,1,1,69,1.0, ,2,3, ,1,0.0,0.0,0.0,7,4,1,318.304809570313,3,15066-14-11-1,69.0,1,3.0,,2.0,1.0,0,0,0,1,1,0,0,1.0,0
15066,49,11,1,1,1,81,3.0,4, , , , ,0.0,0.0,0.0,7,4,1,318.304809570313,4,15066-49-11-1,81.0,1,,,,0.0,0,0,0,1,1,0,0,0.0,0
15067,6,11,1,1,1,52,4.0,0,4, ,5,5,0.0,0.0,0.0,7,4,2,283.740692138672,2,15067-6-11-1,52.0,1,,5.0,4.0,0.0,0,0,0,1,1,0,0,0.0,0
15067,36,11,1,1,1,27,9.0,2,3,1,7,1,0.0,8.0,0.0,7,4,1,283.740692138672,4,15067-36-11-1,27.0,1,1.0,7.0,3.0,1.0,0,1,0,1,1,0,0,1.0,0
15067,95,11,1,1,1,46,4.0,0,2,3, ,1,0.0,0.0,0.0,7,4,1,283.740692138672,2,15067-95-11-1,46.0,1,3.0,,2.0,1.0,0,0,1,1,1,0,1,1.0,1
15068,12,11,1,1,1,43,6.0,5,2,3, ,1,0.0,0.0,0.0,7,5,1,271.278656005859,4,15068-12-11-1,43.0,1,3.0,,2.0,1.0,0,0,0,1,1,0,0,1.0,0
15068,52,11,1,1,1,64,4.0,5,2,3, ,1,0.0,0.0,0.0,7,5,1,271.278656005859,4,15068-52-11-1,64.0,1,3.0,,2.0,1.0,0,0,0,1,1,0,0,1.0,0
15068,79,11,1,1,2,27,7.0,2,2,3, ,1,0.0,0.0,0.0,7,5,1,271.278656005859,3,15068-79-11-1,27.0,1,3.0,,2.0,1.0,0,0,0,1,1,0,0,1.0,0
15068,94,11,1,1,1,48,7.0,2,1,3, ,1,0.0,0.0,0.0,7,5,1,271.278656005859,4,15068-94-11-1,48.0,1,3.0,,1.0,1.0,0,0,0,1,1,0,0,1.0,0
15069,59,11,1,1,2,69,5.0,4,3,2,7,1,0.0,0.0,0.0,7,4,1,302.895935058594,1,15069-59-11-1,69.0,1,2.0,7.0,3.0,1.0,0,0,0,1,1,0,0,1.0,0
15069,95,11,1,1,1,68,10.0,5,1,2, ,1,0.0,8.0,0.0,7,4,1,302.895935058594,3,15069-95-11-1,68.0,1,2.0,,1.0,0.0,0,1,0,1,1,0,0,0.0,0
15070,28,11,1,1,1,61,3.0,3,2,3, ,1,0.0,0.0,0.0,7,4,1,283.740692138672,2,15070-28-11-1,61.0,1,3.0,,2.0,1.0,0,0,0,1,1,0,0,1.0,0
15070,88,11,1,1,1,77,4.0,5,2,3, ,1,0.0,0.0,0.0,7,4,1,283.740692138672,2,15070-88-11-1,77.0,1,3.0,,2.0,1.0,0,0,0,1,1,0,0,1.0,0
15070,108,11,1,1,2,51,3.0,0,4,1,7,1,0.0,0.0,0.0,7,4,1,283.740692138672,4,15070-108-11-1,51.0,1,1.0,7.0,4.0,1.0,0,0,0,1,1,0,0,1.0,0
15071,2,11,1,1,1,41,6.0,5,1,3, ,1,0.0,8.0,0.0,7,5,1,318.304809570313,7,15071-2-11-1,41.0,1,3.0,,1.0,1.0,0,1,0,1,1,0,0,1.0,0
15071,20,11,1,1,1,80,4.0,6, , , , ,0.0,0.0,0.0,7,5,1,318.304809570313,2,15071-20-11-1,80.0,1,,,,0.0,0,0,0,1,1,0,0,0.0,0
15071,32,11,1,1,2,34,5.0,3,2,3, ,1,0.0,0.0,0.0,7,5,1,318.304809570313,6,15071-32-11-1,34.0,1,3.0,,2.0,1.0,0,0,0,1,1,0,0,1.0,0
15071,117,11,1,1,1,81,3.0,2, , , , ,0.0,0.0,0.0,7,5,1,318.304809570313,2,15071-117-11-1,81.0,1,,,,0.0,0,0,0,1,1,0,0,0.0,0
15072,65,11,1,1,2,57,6.0,5,2,3, ,1,0.0,0.0,0.0,7,4, ,318.304809570313,5,15072-65-11-1,57.0,1,3.0,,2.0,1.0,0,0,0,1,1,0,0,1.0,0
15072,98,11,1,1,2,58,4.0,5,6, ,7,1,0.0,0.0,0.0,7,4, ,318.304809570313,2,15072-98-11-1,58.0,1,,7.0,6.0,1.0,0,0,0,1,1,0,0,1.0,0
15073,15,11,1,1,1,82,3.0,3, , , , ,0.0,0.0,0.0,7,5, ,318.304809570313,2,15073-15-11-1,82.0,1,,,,0.0,0,0,1,1,1,0,1,0.0,1
15073,99,11,1,1,1,73,3.0,4,2,3, ,1,0.0,0.0,0.0,7,5, ,318.304809570313,2,15073-99-11-1,73.0,1,3.0,,2.0,1.0,0,0,0,1,1,0,0,1.0,0
15073,130,11,1,1,1,42,5.0,3,4,3,7,1,0.0,0.0,0.0,7,5, ,318.304809570313,3,15073-130-11-1,42.0,1,3.0,7.0,4.0,1.0,0,0,0,1,1,0,0,1.0,0
15074,4,11,1,1,1,65,5.0,1,2,3, ,1,0.0,0.0,0.0,7,5, ,283.740692138672,3,15074-4-11-1,65.0,1,3.0,,2.0,1.0,0,0,0,1,1,0,0,1.0,0
15074,18,11,1,1,1,42,10.0,6,3, ,5,5,0.0,8.0,0.0,7,5, ,283.740692138672,3,15074-18-11-1,42.0,1,,5.0,3.0,0.0,0,1,0,1,1,0,0,0.0,0
15074,46,11,1,1,2,37,4.0,0,2,3, ,1,0.0,0.0,0.0,7,5, ,283.740692138672,3,15074-46-11-1,37.0,1,3.0,,2.0,1.0,0,0,0,1,1,0,0,1.0,0
15074,59,11,1,1,1,66,6.0,5,4,3,7,1,0.0,0.0,0.0,7,5, ,283.740692138672,3,15074-59-11-1,66.0,1,3.0,7.0,4.0,1.0,0,0,0,1,1,0,0,1.0,0
