llave_persona,P203,P207,Edad,Ocupado,Informal,TenenciaBilletera,UsoBilletera,CreditoFormal_2024,FACTOR07,P301A,ESTRATO,DOMINIO,MIEPERHO,CONGLOME,CreditoFormal_2025,CreditoInformal_2025,P203_num,Ocupado_num,CreditoFormal_2024_num,CreditoFormal_2025_num,Informal_num,NuevoCredito
15121-114-11-1,1,1,60.0,1,1.0,0,0,0,65.2061309814453,6.0,7,7,5,15121,0,0,1,1,0,0,1.0,0
15142-25-11-1,1,1,66.0,1,1.0,0,0,0,71.17578125,4.0,7,7,3,15142,0,0,1,1,0,0,1.0,0
15142-27-11-1,1,1,56.0,1,1.0,0,0,0,71.17578125,5.0,7,7,4,15142,0,0,1,1,0,0,1.0,0
15142-28-11-1,1,2,91.0,1,0.0,0,0,0,71.17578125,3.0,7,7,5,15142,0,0,1,1,0,0,0.0,0
15142-162-11-1,1,1,44.0,1,1.0,0,0,0,71.17578125,9.0,7,7,4,15142,0,0,1,1,0,0,1.0,0
15142-163-11-1,1,1,83.0,1,0.0,0,0,0,71.17578125,4.0,7,7,2,15142,0,0,1,1,0,0,0.0,0
15142-164-11-1,1,1,65.0,1,1.0,0,0,0,71.17578125,5.0,7,7,2,15142,0,0,1,1,0,0,1.0,0
15157-42-11-1,1,1,37.0,1,1.0,0,0,0,65.3573379516602,6.0,8,7,4,15157,0,0,1,1,0,0,1.0,0
15157-43-11-1,1,1,54.0,1,0.0,0,0,0,65.3573379516602,6.0,8,7,4,15157,0,0,1,1,0,0,0.0,0
15157-44-11-1,1,1,44.0,1,1.0,0,0,0,65.3573379516602,4.0,8,7,4,15157,0,0,1,1,0,0,1.0,0
15157-92-11-1,1,1,36.0,1,1.0,0,0,0,65.3573379516602,3.0,8,7,3,15157,0,0,1,1,0,0,1.0,0
15157-95-11-1,1,1,60.0,1,1.0,0,0,0,65.3573379516602,4.0,8,7,3,15157,0,0,1,1,0,0,1.0,0
15159-26-11-1,1,1,35.0,1,0.0,1,1,0,56.599250793457,6.0,7,7,5,15159,0,0,1,1,0,0,0.0,0
15159-27-11-1,1,2,64.0,1,1.0,0,0,0,56.599250793457,1.0,7,7,2,15159,0,0,1,1,0,0,1.0,0
15159-28-11-1,1,1,47.0,1,1.0,0,0,0,56.599250793457,6.0,7,7,7,15159,0,0,1,1,0,0,1.0,0
15159-115-11-1,1,2,85.0,1,1.0,0,0,0,56.599250793457,1.0,7,7,1,15159,0,0,1,1,0,0,1.0,0
15159-116-11-1,1,1,52.0,1,0.0,0,0,0,56.599250793457,8.0,7,7,8,15159,0,0,1,1,0,0,0.0,0
15159-117-11-1,1,1,48.0,1,1.0,0,0,0,56.599250793457,6.0,7,7,9,15159,0,0,1,1,0,0,1.0,0
15160-83-11-1,1,1,37.0,1,1.0,0,0,0,65.2061309814453,6.0,7,7,5,15160,0,0,1,1,0,0,1.0,0
15160-84-11-1,1,1,31.0,1,1.0,0,0,0,65.2061309814453,6.0,7,7,7,15160,0,0,1,1,0,0,1.0,0
15160-195-11-1,1,1,49.0,1,1.0,0,0,0,65.2061309814453,5.0,7,7,7,15160,1,0,1,1,0,1,1.0,1
15161-13-11-1,1,1,67.0,1,1.0,0,0,0,65.2061309814453,3.0,7,7,5,15161,0,0,1,1,0,0,1.0,0
15161-321-11-1,1,1,48.0,1,1.0,0,0,0,65.2061309814453,6.0,7,7,4,15161,0,0,1,1,0,0,1.0,0
15161-322-11-1,1,2,77.0,1,1.0,0,0,0,65.2061309814453,3.0,7,7,2,15161,0,0,1,1,0,0,1.0,0
15161-326-11-1,1,1,69.0,1,1.0,0,0,0,65.2061309814453,3.0,7,7,1,15161,0,0,1,1,0,0,1.0,0
15161-327-11-1,1,1,61.0,1,1.0,0,0,0,65.2061309814453,3.0,7,7,4,15161,0,0,1,1,0,0,1.0,0
15162-181-11-1,1,1,71.0,1,1.0,0,0,0,71.17578125,4.0,7,7,1,15162,0,0,1,1,0,0,1.0,0
15162-183-11-1,1,1,50.0,1,1.0,0,0,0,71.17578125,4.0,7,7,9,15162,0,0,1,1,0,0,1.0,0
